rar	frequency==559
zip	frequency==312
tar.gz	frequency==199
tar	frequency==122
tar.bz2	frequency==60
tgz	frequency==54
old	frequency==49
7z	frequency==46
gz	frequency==34
bzip	frequency==7
gzip	frequency==7
original	frequency==7
bz2	frequency==6
war	frequency==5
tar.tgz	frequency==3
7gzip	frequency==2
7zip	frequency==2
bz	frequency==2
iso	frequency==2
tar.bz	frequency==2
zipx	frequency==2
_bak.rar	frequency==2
rar4	frequency==2
rar5	frequency==2
jar	frequency==1
gz2	frequency==1
tar.tz	frequency==1
tar.xz	frequency==1
